PERMNO,date,TICKER,PRC,VOL
12060,2018-05-02,GE,14.18000,51678009
12060,2018-05-03,GE,13.93000,60696993
12060,2018-05-04,GE,14.10000,41908959
12060,2018-05-07,GE,14.07000,32868455
12060,2018-05-08,GE,14.27000,59336105
12060,2018-05-09,GE,14.62000,50867876
12060,2018-05-10,GE,14.69000,37480947
12060,2018-05-11,GE,14.60000,28611050
12060,2018-05-14,GE,14.71000,41033047
12060,2018-05-15,GE,14.71000,35258722
12060,2018-05-16,GE,15.03000,54623446
12060,2018-05-17,GE,15.03000,50728581
12060,2018-05-18,GE,14.97000,34363828
12060,2018-05-21,GE,15.26000,77916849
12060,2018-05-22,GE,15.29000,65739059
12060,2018-05-23,GE,14.18000,147338565
12060,2018-05-24,GE,14.60000,105414027
12060,2018-05-25,GE,14.63000,49698718
12060,2018-05-29,GE,14.18000,76044428
12060,2018-05-30,GE,14.17000,52208405
12060,2018-05-31,GE,14.08000,55456439
12060,2018-06-01,GE,14.10000,56888824
12060,2018-06-04,GE,13.71000,82416322
12060,2018-06-05,GE,13.80000,70448426
12060,2018-06-06,GE,13.64000,62145270
12060,2018-06-07,GE,13.78000,70982420
12060,2018-06-08,GE,13.93000,50244868
12060,2018-06-11,GE,13.98000,43601680
12060,2018-06-12,GE,13.98000,41519137
12060,2018-06-13,GE,13.89000,35499835
12060,2018-06-14,GE,13.64000,60671122
12060,2018-06-15,GE,13.30000,96180108
12060,2018-06-18,GE,13.20000,68340242
12060,2018-06-19,GE,12.95000,77874464
12060,2018-06-20,GE,12.88000,96425602
12060,2018-06-21,GE,12.76000,70692167
12060,2018-06-22,GE,13.05000,74119111
12060,2018-06-25,GE,12.75000,76819797
12060,2018-06-26,GE,13.74000,213833225
12060,2018-06-27,GE,13.96000,135400642
12060,2018-06-28,GE,13.83000,64430989
12060,2018-06-29,GE,13.61000,71964493
12060,2018-07-02,GE,13.37000,62773901
12060,2018-07-03,GE,13.37000,32212405
12060,2018-07-05,GE,13.43000,53542248
12060,2018-07-06,GE,13.85000,60022367
12060,2018-07-09,GE,13.95000,67061141
12060,2018-07-10,GE,14.17000,60315084
12060,2018-07-11,GE,13.99000,47266123
12060,2018-07-12,GE,13.99000,39824478
12060,2018-07-13,GE,13.89000,48547196
12060,2018-07-16,GE,13.90000,42860187
12060,2018-07-17,GE,13.69000,59111582
12060,2018-07-18,GE,13.75000,41035047
12060,2018-07-19,GE,13.73000,74962779
12060,2018-07-20,GE,13.12000,171336054
12060,2018-07-23,GE,12.99000,90332759
12060,2018-07-24,GE,13.12000,56666557
12060,2018-07-25,GE,13.11000,53379420
12060,2018-07-26,GE,13.15000,54512038
12060,2018-07-27,GE,13.06000,39333652
12060,2018-07-30,GE,13.16000,39565013
12060,2018-07-31,GE,13.63000,71693895
12060,2018-08-01,GE,13.24000,44528340
12060,2018-08-02,GE,13.17000,36575255
12060,2018-08-03,GE,13.14000,35245076
12060,2018-08-06,GE,13.10000,32489289
12060,2018-08-07,GE,13.16000,56603863
12060,2018-08-08,GE,13.05000,40399416
12060,2018-08-09,GE,12.94000,32487227
12060,2018-08-10,GE,12.77000,48452261
12060,2018-08-13,GE,12.45000,67099411
12060,2018-08-14,GE,12.35000,49601633
12060,2018-08-15,GE,12.22000,64707098
12060,2018-08-16,GE,12.30000,51984321
12060,2018-08-17,GE,12.30000,46945497
12060,2018-08-20,GE,12.30000,37756535
12060,2018-08-21,GE,12.63000,57947557
12060,2018-08-22,GE,12.47000,43446212
12060,2018-08-23,GE,12.54000,38054589
12060,2018-08-24,GE,12.50000,38669956
12060,2018-08-27,GE,12.77000,44685653
12060,2018-08-28,GE,12.76000,59069270
12060,2018-08-29,GE,12.97000,47788479
12060,2018-08-30,GE,12.77000,44667544
12060,2018-08-31,GE,12.94000,50403142
